127.0.0.1 - - [23/Apr/2023:20:39:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/index.jsp HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/vendor/morrisjs/morris.css HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/dist/css/sb-admin-2.css HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/vendor/jquery/jquery.min.js HTTP/1.1" 200 86351
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/vendor/raphael/raphael.min.js HTTP/1.1" 200 92516
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/vendor/morrisjs/morris.min.js HTTP/1.1" 200 35652
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/dist/js/sb-admin-2.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/data/morris-data.js HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/data/home.jpeg HTTP/1.1" 200 23773
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /FraudApps/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:27 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:39 +0530] "POST /FraudApps/List.jsp HTTP/1.1" 200 4746
0:0:0:0:0:0:0:1 - - [23/Apr/2023:20:39:39 +0530] "GET /FraudApps/profilepic2.jsp?id=3 HTTP/1.1" 200 3270
